kernel,InputData,advise0,advise1,advise2,advise3,advise4,advise5,variant,TimePerc,Time,calls,AVG,MIN,MAX
Kernel,graph1MW.6,0,0,0,0,0,0,0,14.41,0.59027,12,0.049189,8.64E-03,0.215455
Kernel,graph1MW.6,0,0,0,1,0,0,100,23.65,1.135226,12,0.094602,8.74E-03,0.344221
Kernel,graph1MW.6,0,0,0,2,0,0,200,71.16,10.48349,12,0.873624,7.33E-03,2.262546
Kernel,graph1MW.6,0,0,0,3,0,0,300,24.2,1.150455,12,0.095871,8.70E-03,0.363357
Kernel,graph1MW.6,0,0,0,4,0,0,400,19.67,0.893306,12,0.074442,8.70E-03,0.306942
Kernel,graph1MW.6,0,0,0,5,0,0,500,61.02,5.87267,12,0.489389,8.90E-03,2.639696
Kernel,graph1MW.6,0,0,0,6,0,0,600,25.62,1.228725,12,0.102393,8.54E-03,0.410429
Kernel,graph1MW.6,0,0,1,0,0,0,1000,16.15,0.801467,12,0.066788,8.70E-03,0.22003
Kernel,graph1MW.6,0,0,1,1,0,0,1100,21.63,1.117308,12,0.093109,8.77E-03,0.343902
Kernel,graph1MW.6,0,0,1,2,0,0,1200,73.89,13.27822,12,1.106518,7.36E-03,2.639279
Kernel,graph1MW.6,0,0,1,3,0,0,1300,25.66,1.400953,12,0.116746,8.54E-03,0.367998
Kernel,graph1MW.6,0,0,1,4,0,0,1400,22.49,1.152985,12,0.096082,8.74E-03,0.294046
Kernel,graph1MW.6,0,0,1,5,0,0,1500,58.69,5.936636,12,0.494719,8.80E-03,2.641775
Kernel,graph1MW.6,0,0,1,6,0,0,1600,26.65,1.478837,12,0.123236,8.64E-03,0.407902
Kernel,graph1MW.6,0,0,2,0,0,0,2000,97.24,580.7047,12,48.39206,7.81E-03,299.1712
Kernel,graph1MW.6,0,0,2,1,0,0,2100,97.13,666.4907,12,55.54089,8.06E-03,356.7035
Kernel,graph1MW.6,0,0,2,2,0,0,2200,92.28,679.6834,12,56.64028,7.94E-03,334.9921
Kernel,graph1MW.6,0,0,2,3,0,0,2300,97.28,594.972,12,49.581,8.00E-03,313.6378
Kernel,graph1MW.6,0,0,2,4,0,0,2400,97.34,623.2859,12,51.94049,7.84E-03,298.8327
Kernel,graph1MW.6,0,0,2,5,0,0,2500,97.51,672.8856,12,56.0738,8.13E-03,358.2673
Kernel,graph1MW.6,0,0,2,6,0,0,2600,97.14,558.006,12,46.5005,7.97E-03,287.5104
Kernel,graph1MW.6,0,0,3,0,0,0,3000,16.18,0.751929,12,0.06266,7.84E-03,0.210398
Kernel,graph1MW.6,0,0,3,1,0,0,3100,25.8,1.295226,12,0.107935,7.71E-03,0.371581
Kernel,graph1MW.6,0,0,3,2,0,0,3200,71.73,11.59228,12,0.966023,7.36E-03,2.320498
Kernel,graph1MW.6,0,0,3,3,0,0,3300,25.98,1.404761,12,0.117063,8.83E-03,0.369438
Kernel,graph1MW.6,0,0,3,4,0,0,3400,19.9,1.015194,12,0.084599,8.80E-03,0.292415
Kernel,graph1MW.6,0,0,3,5,0,0,3500,58.59,5.997533,12,0.499794,8.83E-03,2.642288
Kernel,graph1MW.6,0,0,3,6,0,0,3600,26.62,1.495606,12,0.124633,8.80E-03,0.418269
Kernel,graph1MW.6,0,0,4,0,0,0,4000,17.4,0.844826,12,0.070402,8.80E-03,0.265118
Kernel,graph1MW.6,0,0,4,1,0,0,4100,27.25,1.365721,12,0.11381,8.90E-03,0.546493
Kernel,graph1MW.6,0,0,4,2,0,0,4200,71.82,11.27263,12,0.939386,7.39E-03,2.482544
Kernel,graph1MW.6,0,0,4,3,0,0,4300,26.81,1.355989,12,0.112999,8.80E-03,0.481629
Kernel,graph1MW.6,0,0,4,4,0,0,4400,21.05,0.980124,12,0.081677,8.77E-03,0.292478
Kernel,graph1MW.6,0,0,4,5,0,0,4500,61.54,5.999001,12,0.499916,8.96E-03,2.641103
Kernel,graph1MW.6,0,0,4,6,0,0,4600,29.11,1.498777,12,0.124898,8.70E-03,0.658012
Kernel,graph1MW.6,0,0,5,0,0,0,5000,44.13,4.14759,12,0.345632,8.67E-03,1.93442
Kernel,graph1MW.6,0,0,5,1,0,0,5100,49.65,4.964641,12,0.41372,8.54E-03,2.083379
Kernel,graph1MW.6,0,0,5,2,0,0,5200,61.89,12.68095,12,1.056745,0.04624,2.206034
Kernel,graph1MW.6,0,0,5,3,0,0,5300,48.54,4.666017,12,0.388834,8.45E-03,1.96674
Kernel,graph1MW.6,0,0,5,4,0,0,5400,47.45,4.593347,12,0.382778,8.64E-03,2.076019
Kernel,graph1MW.6,0,0,5,5,0,0,5500,59.62,7.909712,12,0.659142,8.80E-03,3.474731
Kernel,graph1MW.6,0,0,5,6,0,0,5600,49.34,4.949506,12,0.412458,8.54E-03,2.056979
Kernel,graph1MW.6,0,0,6,0,0,0,6000,16.6,0.838587,12,0.069882,7.33E-03,0.566749
Kernel,graph1MW.6,0,0,6,1,0,0,6100,26.18,1.507157,12,0.125596,8.70E-03,0.420573
Kernel,graph1MW.6,0,0,6,2,0,0,6200,72.79,12.20277,12,1.016897,8.38E-03,2.501489
Kernel,graph1MW.6,0,0,6,3,0,0,6300,25.85,1.433046,12,0.11942,8.93E-03,0.402206
Kernel,graph1MW.6,0,0,6,4,0,0,6400,20.02,1.084827,12,0.090402,8.64E-03,0.29299
Kernel,graph1MW.6,0,0,6,5,0,0,6500,57.62,6.005692,12,0.500474,8.83E-03,2.636848
Kernel,graph1MW.6,0,0,6,6,0,0,6600,27.34,1.556886,12,0.12974,8.99E-03,0.459773
Kernel,graph1MW.6,0,1,0,0,0,0,10000,25.07,1.212057,12,0.101004,8.80E-03,0.627292
Kernel,graph1MW.6,0,1,0,1,0,0,10100,27.66,1.353431,12,0.112785,8.54E-03,0.777659
Kernel,graph1MW.6,0,1,0,2,0,0,10200,73.11,13.45413,12,1.121177,7.30E-03,2.882415
Kernel,graph1MW.6,0,1,0,3,0,0,10300,30.49,1.578292,12,0.131524,8.86E-03,0.663196
Kernel,graph1MW.6,0,1,0,4,0,0,10400,28.77,1.466936,12,0.122244,8.83E-03,0.549661
Kernel,graph1MW.6,0,1,0,5,0,0,10500,63.22,6.475735,12,0.539644,9.66E-03,2.639088
Kernel,graph1MW.6,0,1,0,6,0,0,10600,34.02,1.889237,12,0.157436,8.83E-03,0.889594
Kernel,graph1MW.6,0,1,1,0,0,0,11000,27.59,1.379224,12,0.114935,8.83E-03,0.795931
Kernel,graph1MW.6,0,1,1,1,0,0,11100,33.52,1.791509,12,0.149292,8.61E-03,0.890874
Kernel,graph1MW.6,0,1,1,2,0,0,11200,70.06,11.33177,12,0.944314,7.33E-03,2.48744
Kernel,graph1MW.6,0,1,1,3,0,0,11300,33.9,1.834773,12,0.152897,8.80E-03,0.902938
Kernel,graph1MW.6,0,1,1,4,0,0,11400,32.16,1.695799,12,0.141316,8.64E-03,0.809019
Kernel,graph1MW.6,0,1,1,5,0,0,11500,63.75,6.523256,12,0.543604,8.90E-03,2.637456
Kernel,graph1MW.6,0,1,1,6,0,0,11600,33.82,1.897366,12,0.158113,8.70E-03,0.923354
Kernel,graph1MW.6,0,1,2,0,0,0,12000,97.1,628.2407,12,52.3534,8.10E-03,323.8687
Kernel,graph1MW.6,0,1,2,1,0,0,12100,96.96,575.1485,12,47.92904,7.78E-03,288.6433
Kernel,graph1MW.6,0,1,2,2,0,0,12200,92.07,640.0247,12,53.33539,8.32E-03,312.5845
Kernel,graph1MW.6,0,1,2,3,0,0,12300,97.17,652.0175,12,54.33479,7.94E-03,364.3002
Kernel,graph1MW.6,0,1,2,4,0,0,12400,97.14,662.9087,12,55.24239,8.16E-03,342.0671
Kernel,graph1MW.6,0,1,2,5,0,0,12500,97.29,720.9325,12,60.07771,8.19E-03,369.742
Kernel,graph1MW.6,0,1,2,6,0,0,12600,96.94,615.5364,12,51.2947,8.13E-03,327.1674
Kernel,graph1MW.6,0,1,3,0,0,0,13000,26.66,1.490648,12,0.12422,7.84E-03,0.933915
Kernel,graph1MW.6,0,1,3,1,0,0,13100,33.32,1.939351,12,0.161612,7.74E-03,1.012666
Kernel,graph1MW.6,0,1,3,2,0,0,13200,69.28,11.74576,12,0.978812,7.84E-03,2.343122
Kernel,graph1MW.6,0,1,3,3,0,0,13300,33.02,2.02882,12,0.169068,8.74E-03,0.994266
Kernel,graph1MW.6,0,1,3,4,0,0,13400,32.35,1.904821,12,0.158735,8.61E-03,0.902619
Kernel,graph1MW.6,0,1,3,5,0,0,13500,61.56,6.7438,12,0.561983,8.80E-03,2.640368
Kernel,graph1MW.6,0,1,3,6,0,0,13600,33.79,2.117076,12,0.176423,8.67E-03,1.042714
Kernel,graph1MW.6,0,1,4,0,0,0,14000,21.87,1.112764,12,0.09273,8.61E-03,0.528989
Kernel,graph1MW.6,0,1,4,1,0,0,14100,34.35,1.911733,12,0.159311,8.61E-03,0.701563
Kernel,graph1MW.6,0,1,4,2,0,0,14200,69.56,11.03043,12,0.919202,7.55E-03,2.26981
Kernel,graph1MW.6,0,1,4,3,0,0,14300,34.99,1.93906,12,0.161588,8.77E-03,0.702652
Kernel,graph1MW.6,0,1,4,4,0,0,14400,32.25,1.712467,12,0.142705,8.77E-03,0.545372
Kernel,graph1MW.6,0,1,4,5,0,0,14500,63.68,6.517242,12,0.543103,8.70E-03,2.6324
Kernel,graph1MW.6,0,1,4,6,0,0,14600,35.92,2.031795,12,0.169316,8.80E-03,0.7455
Kernel,graph1MW.6,0,1,5,0,0,0,15000,48.57,4.7945,12,0.399541,8.99E-03,2.019988
Kernel,graph1MW.6,0,1,5,1,0,0,15100,51.79,5.482588,12,0.456882,9.66E-03,2.03762
Kernel,graph1MW.6,0,1,5,2,0,0,15200,58.76,12.13781,12,1.011484,0.047359,2.172787
Kernel,graph1MW.6,0,1,5,3,0,0,15300,51.21,5.498175,12,0.458181,9.50E-03,2.014068
Kernel,graph1MW.6,0,1,5,4,0,0,15400,50.79,5.313665,12,0.442805,9.31E-03,2.024916
Kernel,graph1MW.6,0,1,5,5,0,0,15500,61.61,8.706156,12,0.725513,9.28E-03,3.491659
Kernel,graph1MW.6,0,1,5,6,0,0,15600,51.88,5.518174,12,0.459847,9.60E-03,2.041939
Kernel,graph1MW.6,0,1,6,0,0,0,16000,26.49,1.510037,12,0.125836,8.93E-03,0.922554
Kernel,graph1MW.6,0,1,6,1,0,0,16100,32.68,2.005621,12,0.167135,8.74E-03,1.010106
Kernel,graph1MW.6,0,1,6,2,0,0,16200,69.76,12.14508,12,1.012089,7.30E-03,2.334706
Kernel,graph1MW.6,0,1,6,3,0,0,16300,34.13,2.131765,12,0.177647,8.86E-03,1.073978
Kernel,graph1MW.6,0,1,6,4,0,0,16400,26.65,1.611799,12,0.134316,8.58E-03,0.918363
Kernel,graph1MW.6,0,1,6,5,0,0,16500,60.88,6.687641,12,0.557303,8.70E-03,2.637296
Kernel,graph1MW.6,0,1,6,6,0,0,16600,34.28,2.14693,12,0.17891,8.80E-03,1.072889
Kernel,graph1MW.6,0,2,0,0,0,0,20000,48.62,11.64457,12,0.97038,7.46E-03,2.426481
Kernel,graph1MW.6,0,2,0,1,0,0,20100,48.61,11.53891,12,0.961575,7.55E-03,2.414289
Kernel,graph1MW.6,0,2,0,2,0,0,20200,78.3,43.96198,12,3.663498,7.49E-03,11.16547
Kernel,graph1MW.6,0,2,0,3,0,0,20300,45.61,10.48038,12,0.873365,7.55E-03,2.560016
Kernel,graph1MW.6,0,2,0,4,0,0,20400,47.8,11.13584,12,0.927986,7.49E-03,2.490833
Kernel,graph1MW.6,0,2,0,5,0,0,20500,46.47,13.48645,12,1.12387,0.051552,4.047911
Kernel,graph1MW.6,0,2,0,6,0,0,20600,48.49,11.35309,12,0.94609,7.46E-03,2.488626
Kernel,graph1MW.6,0,2,1,0,0,0,21000,47.6,13.71688,12,1.143073,7.71E-03,2.559857
Kernel,graph1MW.6,0,2,1,1,0,0,21100,47.79,15.21639,12,1.268032,7.68E-03,3.121005
Kernel,graph1MW.6,0,2,1,2,0,0,21200,61.55,28.64555,12,2.387129,7.65E-03,6.154395
Kernel,graph1MW.6,0,2,1,3,0,0,21300,45.23,14.21223,12,1.184352,0.046112,3.26478
Kernel,graph1MW.6,0,2,1,4,0,0,21400,45.53,14.36654,12,1.197211,0.081983,3.747754
Kernel,graph1MW.6,0,2,1,5,0,0,21500,50.85,18.0668,12,1.505566,0.052223,5.813181
Kernel,graph1MW.6,0,2,1,6,0,0,21600,44.69,13.67505,12,1.139587,7.62E-03,2.687887
Kernel,graph1MW.6,0,2,2,0,0,0,22000,93.57,738.1107,12,61.50922,0.040896,386.0715
Kernel,graph1MW.6,0,2,2,1,0,0,22100,92.76,711.627,12,59.30225,0.075327,371.886
Kernel,graph1MW.6,0,2,2,2,0,0,22200,90.83,759.3766,12,63.28139,0.077631,382.1484
Kernel,graph1MW.6,0,2,2,3,0,0,22300,93.21,727.3566,12,60.61305,0.059872,351.0461
Kernel,graph1MW.6,0,2,2,4,0,0,22400,93.14,677.4821,12,56.45684,0.080064,361.3707
Kernel,graph1MW.6,0,2,2,5,0,0,22500,92.83,721.6474,12,60.13728,0.0608,388.3905
Kernel,graph1MW.6,0,2,2,6,0,0,22600,93.68,748.4723,12,62.37269,0.086303,379.8092
Kernel,graph1MW.6,0,2,3,0,0,0,23000,48.07,11.16803,12,0.930669,6.75E-03,2.142579
Kernel,graph1MW.6,0,2,3,1,0,0,23100,47.09,11.66879,12,0.972399,6.75E-03,2.604976
Kernel,graph1MW.6,0,2,3,2,0,0,23200,68.12,28.82789,12,2.402323,7.68E-03,6.713079
Kernel,graph1MW.6,0,2,3,3,0,0,23300,50.92,16.95308,12,1.412756,7.65E-03,3.562987
Kernel,graph1MW.6,0,2,3,4,0,0,23400,45.75,10.66192,12,0.888493,7.68E-03,1.904052
Kernel,graph1MW.6,0,2,3,5,0,0,23500,47.54,13.82248,12,1.151873,0.082623,4.233286
Kernel,graph1MW.6,0,2,3,6,0,0,23600,47.4,11.57868,12,0.96489,7.68E-03,2.545712
Kernel,graph1MW.6,0,2,4,0,0,0,24000,47.25,10.96012,12,0.913343,7.71E-03,2.149266
Kernel,graph1MW.6,0,2,4,1,0,0,24100,48.07,11.70672,12,0.975559,7.71E-03,2.605648
Kernel,graph1MW.6,0,2,4,2,0,0,24200,69.19,29.55429,12,2.462857,7.65E-03,7.669298
Kernel,graph1MW.6,0,2,4,3,0,0,24300,44.71,10.64963,12,0.887469,7.68E-03,2.058355
Kernel,graph1MW.6,0,2,4,4,0,0,24400,48.01,11.69574,12,0.974644,7.68E-03,2.636944
Kernel,graph1MW.6,0,2,4,5,0,0,24500,50.02,14.14129,12,1.17844,0.082783,3.98756
Kernel,graph1MW.6,0,2,4,6,0,0,24600,46.24,11.4704,12,0.955866,7.65E-03,2.317618
Kernel,graph1MW.6,0,2,5,0,0,0,25000,50.31,13.72785,12,1.143987,0.045856,2.839887
Kernel,graph1MW.6,0,2,5,1,0,0,25100,44.72,12.74693,12,1.062243,0.045887,2.676495
Kernel,graph1MW.6,0,2,5,2,0,0,25200,64.38,28.45324,12,2.371102,0.045407,6.393305
Kernel,graph1MW.6,0,2,5,3,0,0,25300,46.31,13.05938,12,1.088281,0.04576,2.960046
Kernel,graph1MW.6,0,2,5,4,0,0,25400,45.95,13.64776,12,1.137313,0.044799,2.457009
Kernel,graph1MW.6,0,2,5,5,0,0,25500,47.43,15.77978,12,1.314981,0.054527,5.099362
Kernel,graph1MW.6,0,2,5,6,0,0,25600,45.94,14.15781,12,1.179817,0.045632,2.514033
Kernel,graph1MW.6,0,2,6,0,0,0,26000,48.43,11.51142,12,0.959285,7.65E-03,2.083796
Kernel,graph1MW.6,0,2,6,1,0,0,26100,46.01,11.28883,12,0.940735,7.68E-03,2.216051
Kernel,graph1MW.6,0,2,6,2,0,0,26200,68.71,28.0092,12,2.3341,7.62E-03,5.822013
Kernel,graph1MW.6,0,2,6,3,0,0,26300,51.11,13.58872,12,1.132393,7.62E-03,2.732239
Kernel,graph1MW.6,0,2,6,4,0,0,26400,48.65,12.11142,12,1.009284,7.62E-03,2.35205
Kernel,graph1MW.6,0,2,6,5,0,0,26500,48.33,14.47515,12,1.206262,0.050304,4.207719
Kernel,graph1MW.6,0,2,6,6,0,0,26600,47.28,11.42924,12,0.952436,7.62E-03,1.976244
Kernel,graph1MW.6,0,3,0,0,0,0,30000,23.53,1.108827,12,0.092402,8.83E-03,0.527485
Kernel,graph1MW.6,0,3,0,1,0,0,30100,32.15,1.677365,12,0.13978,8.93E-03,0.732603
Kernel,graph1MW.6,0,3,0,2,0,0,30200,70.44,11.5751,12,0.964591,7.30E-03,2.352082
Kernel,graph1MW.6,0,3,0,3,0,0,30300,31.46,1.656534,12,0.138044,8.74E-03,0.744252
Kernel,graph1MW.6,0,3,0,4,0,0,30400,28.11,1.412408,12,0.1177,8.61E-03,0.526397
Kernel,graph1MW.6,0,3,0,5,0,0,30500,63.52,6.431608,12,0.535967,8.83E-03,2.639249
Kernel,graph1MW.6,0,3,0,6,0,0,30600,33.29,1.816372,12,0.151364,8.74E-03,0.830011
Kernel,graph1MW.6,0,3,1,0,0,0,31000,22.99,1.227609,12,0.1023,8.64E-03,0.642012
Kernel,graph1MW.6,0,3,1,1,0,0,31100,32.24,1.922964,12,0.160247,8.61E-03,0.91033
Kernel,graph1MW.6,0,3,1,2,0,0,31200,69.73,11.60204,12,0.966837,7.58E-03,2.233235
Kernel,graph1MW.6,0,3,1,3,0,0,31300,31.09,1.868244,12,0.155687,8.70E-03,0.858587
Kernel,graph1MW.6,0,3,1,4,0,0,31400,29.1,1.689014,12,0.140751,8.58E-03,0.7519
Kernel,graph1MW.6,0,3,1,5,0,0,31500,60.3,6.539862,12,0.544988,8.77E-03,2.635728
Kernel,graph1MW.6,0,3,1,6,0,0,31600,32.93,2.021521,12,0.16846,8.77E-03,0.960954
Kernel,graph1MW.6,0,3,2,0,0,0,32000,97.23,556.2583,12,46.35486,7.84E-03,272.9608
Kernel,graph1MW.6,0,3,2,1,0,0,32100,96.87,511.3789,12,42.61491,8.16E-03,257.6059
Kernel,graph1MW.6,0,3,2,2,0,0,32200,90.76,533.163,12,44.43025,8.29E-03,289.4089
Kernel,graph1MW.6,0,3,2,3,0,0,32300,97.12,579.7068,12,48.3089,7.90E-03,292.9521
Kernel,graph1MW.6,0,3,2,4,0,0,32400,97.11,558.6242,12,46.55201,8.42E-03,290.385
Kernel,graph1MW.6,0,3,2,5,0,0,32500,97.39,626.465,12,52.20541,8.29E-03,314.4614
Kernel,graph1MW.6,0,3,2,6,0,0,32600,96.99,546.0537,12,45.50447,8.22E-03,288.9308
Kernel,graph1MW.6,0,3,3,0,0,0,33000,24.7,1.357336,12,0.113111,7.90E-03,0.798139
Kernel,graph1MW.6,0,3,3,1,0,0,33100,31.45,1.825972,12,0.152164,7.74E-03,0.919098
Kernel,graph1MW.6,0,3,3,2,0,0,33200,69.16,11.25497,12,0.937914,7.58E-03,2.261458
Kernel,graph1MW.6,0,3,3,3,0,0,33300,32.81,1.995635,12,0.166302,8.58E-03,0.94969
Kernel,graph1MW.6,0,3,3,4,0,0,33400,25.91,1.529497,12,0.127458,8.58E-03,0.828187
Kernel,graph1MW.6,0,3,3,5,0,0,33500,60.73,6.587673,12,0.548972,8.83E-03,2.632464
Kernel,graph1MW.6,0,3,3,6,0,0,33600,33.25,2.058322,12,0.171526,8.61E-03,0.996826
Kernel,graph1MW.6,0,3,4,0,0,0,34000,23.49,1.220471,12,0.101705,8.64E-03,0.636764
Kernel,graph1MW.6,0,3,4,1,0,0,34100,35.6,1.98466,12,0.165388,8.77E-03,0.774651
Kernel,graph1MW.6,0,3,4,2,0,0,34200,68.77,11.20941,12,0.934117,7.90E-03,2.518385
Kernel,graph1MW.6,0,3,4,3,0,0,34300,35.48,2.010674,12,0.167556,8.70E-03,0.774875
Kernel,graph1MW.6,0,3,4,4,0,0,34400,24.1,1.32268,12,0.110223,8.64E-03,0.625469
Kernel,graph1MW.6,0,3,4,5,0,0,34500,63.96,6.603541,12,0.550295,8.99E-03,2.638032
Kernel,graph1MW.6,0,3,4,6,0,0,34600,36.8,2.078289,12,0.17319,8.77E-03,0.790779
Kernel,graph1MW.6,0,3,5,0,0,0,35000,49.92,5.041794,12,0.420149,8.77E-03,2.046484
Kernel,graph1MW.6,0,3,5,1,0,0,35100,52.23,5.4968,12,0.458066,9.18E-03,2.052372
Kernel,graph1MW.6,0,3,5,2,0,0,35200,58.66,12.03503,12,1.002919,0.047487,2.110835
Kernel,graph1MW.6,0,3,5,3,0,0,35300,52.28,5.491647,12,0.457637,9.18E-03,2.015156
Kernel,graph1MW.6,0,3,5,4,0,0,35400,50.38,5.148672,12,0.429056,9.02E-03,2.004979
Kernel,graph1MW.6,0,3,5,5,0,0,35500,62.07,8.819436,12,0.734953,9.15E-03,3.527499
Kernel,graph1MW.6,0,3,5,6,0,0,35600,52.53,5.632319,12,0.469359,9.09E-03,2.057971
Kernel,graph1MW.6,0,3,6,0,0,0,36000,26.6,1.525434,12,0.127119,8.70E-03,0.942427
Kernel,graph1MW.6,0,3,6,1,0,0,36100,32.32,2.016307,12,0.168025,8.74E-03,1.011802
Kernel,graph1MW.6,0,3,6,2,0,0,36200,68.1,11.07036,12,0.92253,7.36E-03,2.117203
Kernel,graph1MW.6,0,3,6,3,0,0,36300,34.41,2.165683,12,0.180473,8.74E-03,1.118329
Kernel,graph1MW.6,0,3,6,4,0,0,36400,30.44,1.813045,12,0.151087,8.67E-03,0.90281
Kernel,graph1MW.6,0,3,6,5,0,0,36500,60.97,6.740024,12,0.561668,8.77E-03,2.638448
Kernel,graph1MW.6,0,3,6,6,0,0,36600,34.54,2.217458,12,0.184788,8.83E-03,1.125785
Kernel,graph1MW.6,0,4,0,0,0,0,40000,14.71,0.66537,12,0.055447,8.61E-03,0.214878
Kernel,graph1MW.6,0,4,0,1,0,0,40100,28.59,1.416986,12,0.118082,8.70E-03,0.451293
Kernel,graph1MW.6,0,4,0,2,0,0,40200,72.49,11.05507,12,0.921255,7.33E-03,2.226899
Kernel,graph1MW.6,0,4,0,3,0,0,40300,28.52,1.442424,12,0.120202,8.64E-03,0.518429
Kernel,graph1MW.6,0,4,0,4,0,0,40400,18.82,0.892155,12,0.074346,8.58E-03,0.222751
Kernel,graph1MW.6,0,4,0,5,0,0,40500,62.39,6.094075,12,0.507839,9.44E-03,2.636944
Kernel,graph1MW.6,0,4,0,6,0,0,40600,28.68,1.418935,12,0.118244,8.74E-03,0.678204
Kernel,graph1MW.6,0,4,1,0,0,0,41000,19.69,1.024732,12,0.085394,8.86E-03,0.439325
Kernel,graph1MW.6,0,4,1,1,0,0,41100,23.08,1.33196,12,0.110996,8.64E-03,0.35203
Kernel,graph1MW.6,0,4,1,2,0,0,41200,71.64,11.64559,12,0.970466,7.33E-03,2.344498
Kernel,graph1MW.6,0,4,1,3,0,0,41300,23.31,1.353591,12,0.112799,8.61E-03,0.365598
Kernel,graph1MW.6,0,4,1,4,0,0,41400,21.12,1.151481,12,0.095956,8.80E-03,0.453213
Kernel,graph1MW.6,0,4,1,5,0,0,41500,56.71,5.923385,12,0.493615,8.90E-03,2.635408
Kernel,graph1MW.6,0,4,1,6,0,0,41600,24.35,1.466488,12,0.122207,8.70E-03,0.430845
Kernel,graph1MW.6,0,4,2,0,0,0,42000,97.11,531.2122,12,44.26768,8.16E-03,289.4558
Kernel,graph1MW.6,0,4,2,1,0,0,42100,97.06,570.5484,12,47.5457,8.16E-03,276.8414
Kernel,graph1MW.6,0,4,2,2,0,0,42200,91.63,579.2092,12,48.26743,8.22E-03,300.2338
Kernel,graph1MW.6,0,4,2,3,0,0,42300,97.4,609.4567,12,50.78806,8.06E-03,344.0151
Kernel,graph1MW.6,0,4,2,4,0,0,42400,96.76,543.8653,12,45.32211,8.06E-03,259.6966
Kernel,graph1MW.6,0,4,2,5,0,0,42500,96.66,571.8001,12,47.65001,7.87E-03,291.453
Kernel,graph1MW.6,0,4,2,6,0,0,42600,97.12,530.4121,12,44.20101,8.00E-03,257.1093
Kernel,graph1MW.6,0,4,3,0,0,0,43000,21.33,1.071576,12,0.089298,7.84E-03,0.516125
Kernel,graph1MW.6,0,4,3,1,0,0,43100,28.28,1.576341,12,0.131361,7.78E-03,0.580381
Kernel,graph1MW.6,0,4,3,2,0,0,43200,73.12,12.05657,12,1.004713,7.30E-03,2.461905
Kernel,graph1MW.6,0,4,3,3,0,0,43300,24.66,1.408056,12,0.117338,8.64E-03,0.384574
Kernel,graph1MW.6,0,4,3,4,0,0,43400,26.96,1.514552,12,0.126212,8.83E-03,0.521501
Kernel,graph1MW.6,0,4,3,5,0,0,43500,57.06,6.050971,12,0.504247,8.70E-03,2.635153
Kernel,graph1MW.6,0,4,3,6,0,0,43600,25.79,1.522711,12,0.126892,8.67E-03,0.451646
Kernel,graph1MW.6,0,4,4,0,0,0,44000,25.84,1.275835,12,0.106319,8.67E-03,0.6583
Kernel,graph1MW.6,0,4,4,1,0,0,44100,34.51,1.922068,12,0.160172,8.80E-03,1.03625
Kernel,graph1MW.6,0,4,4,2,0,0,44200,73.26,11.61484,12,0.967903,7.52E-03,2.18373
Kernel,graph1MW.6,0,4,4,3,0,0,44300,33.61,1.873173,12,0.156097,8.77E-03,0.989434
Kernel,graph1MW.6,0,4,4,4,0,0,44400,34.96,1.948053,12,0.162337,8.70E-03,0.934714
Kernel,graph1MW.6,0,4,4,5,0,0,44500,63.52,6.489529,12,0.540794,8.61E-03,2.630736
Kernel,graph1MW.6,0,4,4,6,0,0,44600,36.93,2.098355,12,0.174862,8.86E-03,1.164857
Kernel,graph1MW.6,0,4,5,0,0,0,45000,46.54,4.451493,12,0.370957,9.06E-03,1.95122
Kernel,graph1MW.6,0,4,5,1,0,0,45100,49.47,5.038082,12,0.41984,9.38E-03,2.000596
Kernel,graph1MW.6,0,4,5,2,0,0,45200,59.92,12.43606,12,1.036338,0.04704,2.142611
Kernel,graph1MW.6,0,4,5,3,0,0,45300,49.92,5.094242,12,0.42452,9.22E-03,2.021236
Kernel,graph1MW.6,0,4,5,4,0,0,45400,47.72,4.670371,12,0.389197,9.41E-03,2.038004
Kernel,graph1MW.6,0,4,5,5,0,0,45500,61.23,8.467499,12,0.705624,9.69E-03,3.515626
Kernel,graph1MW.6,0,4,5,6,0,0,45600,51.09,5.315039,12,0.442919,8.99E-03,2.033235
Kernel,graph1MW.6,0,4,6,0,0,0,46000,20.6,1.112376,12,0.092698,8.67E-03,0.528413
Kernel,graph1MW.6,0,4,6,1,0,0,46100,22.32,1.319193,12,0.109932,8.77E-03,0.328702
Kernel,graph1MW.6,0,4,6,2,0,0,46200,72.61,11.96562,12,0.997135,7.87E-03,2.210003
Kernel,graph1MW.6,0,4,6,3,0,0,46300,23.48,1.394136,12,0.116178,8.70E-03,0.37491
Kernel,graph1MW.6,0,4,6,4,0,0,46400,27.01,1.53692,12,0.128076,8.74E-03,0.587292
Kernel,graph1MW.6,0,4,6,5,0,0,46500,56.18,5.975514,12,0.497959,8.74E-03,2.633968
Kernel,graph1MW.6,0,4,6,6,0,0,46600,24.45,1.478871,12,0.123239,8.70E-03,0.421373
Kernel,graph1MW.6,0,5,0,0,0,0,50000,37.03,2.182291,12,0.181857,0.047744,1.177337
Kernel,graph1MW.6,0,5,0,1,0,0,50100,42.16,2.676622,12,0.223051,0.047967,1.135353
Kernel,graph1MW.6,0,5,0,2,0,0,50200,65.14,10.77465,12,0.897887,8.35E-03,2.423825
Kernel,graph1MW.6,0,5,0,3,0,0,50300,41.01,2.535602,12,0.2113,0.04656,1.240952
Kernel,graph1MW.6,0,5,0,4,0,0,50400,40.56,2.548463,12,0.212371,0.047487,1.108442
