Executed Ipc Elapsed,Issued Warp Per Scheduler,Avg. Executed Instructions Per Scheduler,Block Size,Registers Per Thread,Threads,Waves Per SM,Block Limit Registers,Block Limit Warps,CPUPageFault,GPUPagePault,HtoD,DtoH,label
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,1
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
0.1,0.05,232.97,16,16,36864,0.9,128,64,6,59,192,192,0
0.1,0.05,232.97,16,16,36864,0.9,128,64,0,0,0,0,5
0.1,0.05,232.97,16,16,36864,0.9,128,64,1,5,128,64,3
0,0.06,1.23,512,17,512,0,5,4,6,59,192,192,0
0,0.06,1.23,512,17,512,0,5,4,0,0,0,0,1
0,0.06,1.23,512,17,512,0,5,4,1,5,128,64,0
0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,1
0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,0
0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,6
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
0.11,0.05,280.31,16,16,43264,1.06,128,64,6,50,192,192,1
0.11,0.05,280.31,16,16,43264,1.06,128,64,0,0,0,0,0
0.11,0.05,280.31,16,16,43264,1.06,128,64,1,5,320,64,6
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
0.1,0.05,276.55,16,16,43264,1.06,128,64,6,50,192,192,1
0.1,0.05,276.55,16,16,43264,1.06,128,64,0,0,0,0,0
0.1,0.05,276.55,16,16,43264,1.06,128,64,1,5,320,64,6
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,1
0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,0
0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,6
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
0.1,0.05,273.84,16,16,43264,1.06,128,64,6,50,192,192,1
0.1,0.05,273.84,16,16,43264,1.06,128,64,0,0,0,0,0
0.1,0.05,273.84,16,16,43264,1.06,128,64,1,5,320,64,6
0,0.06,1.35,512,17,512,0,5,4,6,50,192,192,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,5,320,64,0
0.12,0.05,324.98,16,16,50176,1.23,128,64,6,40,256,256,0
0.12,0.05,324.98,16,16,50176,1.23,128,64,0,0,0,0,3
0.12,0.05,324.98,16,16,50176,1.23,128,64,1,8,256,0,6
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
0.11,0.05,324.98,16,16,50176,1.23,128,64,6,40,256,256,0
0.11,0.05,324.98,16,16,50176,1.23,128,64,0,0,0,0,3
0.11,0.05,324.98,16,16,50176,1.23,128,64,1,8,256,0,6
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
0.11,0.05,320.92,16,16,50176,1.23,128,64,6,40,256,256,0
0.11,0.05,320.92,16,16,50176,1.23,128,64,0,0,0,0,3
0.11,0.05,320.92,16,16,50176,1.23,128,64,1,8,256,0,6
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
0.11,0.05,318,16,16,50176,1.23,128,64,6,40,256,256,0
0.11,0.05,318,16,16,50176,1.23,128,64,0,0,0,0,3
0.11,0.05,318,16,16,50176,1.23,128,64,1,8,256,0,6
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
0.11,0.05,318,16,16,50176,1.23,128,64,6,40,256,256,0
0.11,0.05,318,16,16,50176,1.23,128,64,0,0,0,0,3
0.11,0.05,318,16,16,50176,1.23,128,64,1,8,256,0,6
0,0.06,1.35,512,17,512,0,5,4,6,40,256,256,0
0,0.06,1.35,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.35,512,17,512,0,5,4,1,8,256,0,0
0.12,0.05,372.94,16,16,57600,1.41,128,64,6,41,256,256,1
0.12,0.05,372.94,16,16,57600,1.41,128,64,0,0,0,0,0
0.12,0.05,372.94,16,16,57600,1.41,128,64,1,1,256,0,2
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,0
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,372.94,16,16,57600,1.41,128,64,6,41,256,256,1
0.12,0.05,372.94,16,16,57600,1.41,128,64,0,0,0,0,0
0.12,0.05,372.94,16,16,57600,1.41,128,64,1,1,256,0,2
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,0
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,368.6,16,16,57600,1.41,128,64,6,41,256,256,1
0.12,0.05,368.6,16,16,57600,1.41,128,64,0,0,0,0,0
0.12,0.05,368.6,16,16,57600,1.41,128,64,1,1,256,0,2
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,0
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,365.46,16,16,57600,1.41,128,64,6,41,256,256,1
0.12,0.05,365.46,16,16,57600,1.41,128,64,0,0,0,0,0
0.12,0.05,365.46,16,16,57600,1.41,128,64,1,1,256,0,2
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,0
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,365.46,16,16,57600,1.41,128,64,6,41,256,256,1
0.12,0.05,365.46,16,16,57600,1.41,128,64,0,0,0,0,0
0.12,0.05,365.46,16,16,57600,1.41,128,64,1,1,256,0,2
0,0.06,1.48,512,17,512,0,5,4,6,41,256,256,0
0,0.06,1.48,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.13,0.05,424.2,16,16,65536,1.6,128,64,8,57,320,320,0
0.13,0.05,424.2,16,16,65536,1.6,128,64,2,8,64,64,1
0.13,0.05,424.2,16,16,65536,1.6,128,64,1,1,256,0,5
0,0.07,1.48,512,17,512,0,5,4,8,57,320,320,0
0,0.07,1.48,512,17,512,0,5,4,2,8,64,64,0
0,0.07,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,424.2,16,16,65536,1.6,128,64,8,57,320,320,0
0.12,0.05,424.2,16,16,65536,1.6,128,64,2,8,64,64,1
0.12,0.05,424.2,16,16,65536,1.6,128,64,1,1,256,0,5
0,0.06,1.48,512,17,512,0,5,4,8,57,320,320,0
0,0.06,1.48,512,17,512,0,5,4,2,8,64,64,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,419.57,16,16,65536,1.6,128,64,8,57,320,320,0
0.12,0.05,419.57,16,16,65536,1.6,128,64,2,8,64,64,1
0.12,0.05,419.57,16,16,65536,1.6,128,64,1,1,256,0,5
0,0.07,1.48,512,17,512,0,5,4,8,57,320,320,0
0,0.07,1.48,512,17,512,0,5,4,2,8,64,64,0
0,0.07,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,416.23,16,16,65536,1.6,128,64,8,57,320,320,0
0.12,0.05,416.23,16,16,65536,1.6,128,64,2,8,64,64,1
0.12,0.05,416.23,16,16,65536,1.6,128,64,1,1,256,0,5
0,0.06,1.48,512,17,512,0,5,4,8,57,320,320,0
0,0.06,1.48,512,17,512,0,5,4,2,8,64,64,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.12,0.05,416.23,16,16,65536,1.6,128,64,8,57,320,320,0
0.12,0.05,416.23,16,16,65536,1.6,128,64,2,8,64,64,1
0.12,0.05,416.23,16,16,65536,1.6,128,64,1,1,256,0,5
0,0.06,1.48,512,17,512,0,5,4,8,57,320,320,0
0,0.06,1.48,512,17,512,0,5,4,2,8,64,64,0
0,0.06,1.48,512,17,512,0,5,4,1,1,256,0,0
0.13,0.05,478.76,16,16,73984,1.81,128,64,8,34,320,320,0
0.13,0.05,478.76,16,16,73984,1.81,128,64,0,0,0,0,1
0.13,0.05,478.76,16,16,73984,1.81,128,64,1,8,704,0,3
0,0.06,1.6,512,17,512,0,5,4,8,34,320,320,0
0,0.06,1.6,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.6,512,17,512,0,5,4,1,8,704,0,0
0.13,0.05,478.76,16,16,73984,1.81,128,64,8,34,320,320,0
0.13,0.05,478.76,16,16,73984,1.81,128,64,0,0,0,0,1
0.13,0.05,478.76,16,16,73984,1.81,128,64,1,8,704,0,3
0,0.06,1.6,512,17,512,0,5,4,8,34,320,320,0
0,0.06,1.6,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.6,512,17,512,0,5,4,1,8,704,0,0
0.13,0.05,473.85,16,16,73984,1.81,128,64,8,34,320,320,0
0.13,0.05,473.85,16,16,73984,1.81,128,64,0,0,0,0,1
0.13,0.05,473.85,16,16,73984,1.81,128,64,1,8,704,0,3
0,0.06,1.6,512,17,512,0,5,4,8,34,320,320,0
0,0.06,1.6,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.6,512,17,512,0,5,4,1,8,704,0,0
0.13,0.05,470.29,16,16,73984,1.81,128,64,8,34,320,320,0
0.13,0.05,470.29,16,16,73984,1.81,128,64,0,0,0,0,1
0.13,0.05,470.29,16,16,73984,1.81,128,64,1,8,704,0,3
0,0.07,1.6,512,17,512,0,5,4,8,34,320,320,0
0,0.07,1.6,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.6,512,17,512,0,5,4,1,8,704,0,0
0.13,0.05,470.29,16,16,73984,1.81,128,64,8,34,320,320,0
0.13,0.05,470.29,16,16,73984,1.81,128,64,0,0,0,0,1
0.13,0.05,470.29,16,16,73984,1.81,128,64,1,8,704,0,3
0,0.07,1.6,512,17,512,0,5,4,8,34,320,320,0
0,0.07,1.6,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.6,512,17,512,0,5,4,1,8,704,0,0
0.13,0.05,536.62,16,16,82944,2.02,128,64,9,35,512,384,0
0.13,0.05,536.62,16,16,82944,2.02,128,64,0,0,0,0,0
0.13,0.05,536.62,16,16,82944,2.02,128,64,1,8,512,128,2
0,0.06,1.6,512,17,512,0,5,4,9,35,512,384,0
0,0.06,1.6,512,17,512,0,5,4,0,0,0,0,3
0,0.06,1.6,512,17,512,0,5,4,1,8,512,128,0
0.13,0.05,536.62,16,16,82944,2.02,128,64,9,35,512,384,0
0.13,0.05,536.62,16,16,82944,2.02,128,64,0,0,0,0,0
0.13,0.05,536.62,16,16,82944,2.02,128,64,1,8,512,128,2
0,0.07,1.6,512,17,512,0,5,4,9,35,512,384,0
0,0.07,1.6,512,17,512,0,5,4,0,0,0,0,3
0,0.07,1.6,512,17,512,0,5,4,1,8,512,128,0
0.13,0.05,531.42,16,16,82944,2.02,128,64,9,35,512,384,0
0.13,0.05,531.42,16,16,82944,2.02,128,64,0,0,0,0,0
0.13,0.05,531.42,16,16,82944,2.02,128,64,1,8,512,128,2
0,0.07,1.6,512,17,512,0,5,4,9,35,512,384,0
0,0.07,1.6,512,17,512,0,5,4,0,0,0,0,3
0,0.07,1.6,512,17,512,0,5,4,1,8,512,128,0
0.13,0.05,527.65,16,16,82944,2.02,128,64,9,35,512,384,0
0.13,0.05,527.65,16,16,82944,2.02,128,64,0,0,0,0,0
0.13,0.05,527.65,16,16,82944,2.02,128,64,1,8,512,128,2
0,0.07,1.6,512,17,512,0,5,4,9,35,512,384,0
0,0.07,1.6,512,17,512,0,5,4,0,0,0,0,3
0,0.07,1.6,512,17,512,0,5,4,1,8,512,128,0
0.13,0.05,527.65,16,16,82944,2.02,128,64,9,35,512,384,0
0.13,0.05,527.65,16,16,82944,2.02,128,64,0,0,0,0,0
0.13,0.05,527.65,16,16,82944,2.02,128,64,1,8,512,128,2
0,0.07,1.6,512,17,512,0,5,4,9,35,512,384,0
0,0.07,1.6,512,17,512,0,5,4,0,0,0,0,3
0,0.07,1.6,512,17,512,0,5,4,1,8,512,128,0
0.14,0.05,597.79,16,16,92416,2.26,128,64,9,40,512,384,2
0.14,0.05,597.79,16,16,92416,2.26,128,64,0,0,0,0,6
0.14,0.05,597.79,16,16,92416,2.26,128,64,1,8,512,128,5
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,0
0.14,0.05,597.79,16,16,92416,2.26,128,64,9,40,512,384,2
0.14,0.05,597.79,16,16,92416,2.26,128,64,0,0,0,0,6
0.14,0.05,597.79,16,16,92416,2.26,128,64,1,8,512,128,5
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,0
0.14,0.05,592.3,16,16,92416,2.26,128,64,9,40,512,384,2
0.14,0.05,592.3,16,16,92416,2.26,128,64,0,0,0,0,6
0.14,0.05,592.3,16,16,92416,2.26,128,64,1,8,512,128,5
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,0
0.14,0.05,588.31,16,16,92416,2.26,128,64,9,40,512,384,2
0.14,0.05,588.31,16,16,92416,2.26,128,64,0,0,0,0,6
0.14,0.05,588.31,16,16,92416,2.26,128,64,1,8,512,128,5
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,0
0.14,0.05,588.31,16,16,92416,2.26,128,64,9,40,512,384,2
0.14,0.05,588.31,16,16,92416,2.26,128,64,0,0,0,0,6
0.14,0.05,588.31,16,16,92416,2.26,128,64,1,8,512,128,5
0,0.07,1.72,512,17,512,0,5,4,9,40,512,384,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,8,512,128,0
0.01,0.02,6.83,16,16,1024,0.03,128,64,2,32,64,64,1
0.01,0.02,6.83,16,16,1024,0.03,128,64,0,0,0,0,1
0.01,0.02,6.83,16,16,1024,0.03,128,64,0,0,0,0,0
0,0.07,0.62,512,17,512,0,5,4,2,32,64,64,0
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
0.01,0.02,6.83,16,16,1024,0.03,128,64,2,32,64,64,1
0.01,0.02,6.83,16,16,1024,0.03,128,64,0,0,0,0,1
0.01,0.02,6.83,16,16,1024,0.03,128,64,0,0,0,0,0
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,0
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
0.01,0.03,6.22,16,16,1024,0.03,128,64,2,32,64,64,1
0.01,0.03,6.22,16,16,1024,0.03,128,64,0,0,0,0,1
0.01,0.03,6.22,16,16,1024,0.03,128,64,0,0,0,0,0
0,0.07,0.62,512,17,512,0,5,4,2,32,64,64,0
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.07,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.02,5.85,16,16,1024,0.03,128,64,2,32,64,64,1
0,0.02,5.85,16,16,1024,0.03,128,64,0,0,0,0,1
0,0.02,5.85,16,16,1024,0.03,128,64,0,0,0,0,0
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,0
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.03,5.85,16,16,1024,0.03,128,64,2,32,64,64,1
0,0.03,5.85,16,16,1024,0.03,128,64,0,0,0,0,1
0,0.03,5.85,16,16,1024,0.03,128,64,0,0,0,0,0
0,0.06,0.62,512,17,512,0,5,4,2,32,64,64,0
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
0,0.06,0.62,512,17,512,0,5,4,0,0,0,0,0
0.14,0.05,662.25,16,16,102400,2.5,128,64,8,65,448,448,2
0.14,0.05,662.25,16,16,102400,2.5,128,64,0,0,0,0,1
0.14,0.05,662.25,16,16,102400,2.5,128,64,1,2,384,64,1
0,0.07,1.72,512,17,512,0,5,4,8,65,448,448,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,2,384,64,0
0.14,0.05,662.25,16,16,102400,2.5,128,64,8,65,448,448,2
0.14,0.05,662.25,16,16,102400,2.5,128,64,0,0,0,0,1
0.14,0.05,662.25,16,16,102400,2.5,128,64,1,2,384,64,1
0,0.07,1.72,512,17,512,0,5,4,8,65,448,448,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,2,384,64,0
0.14,0.06,656.47,16,16,102400,2.5,128,64,8,65,448,448,2
0.14,0.06,656.47,16,16,102400,2.5,128,64,0,0,0,0,1
0.14,0.06,656.47,16,16,102400,2.5,128,64,1,2,384,64,1
0,0.07,1.72,512,17,512,0,5,4,8,65,448,448,0
0,0.07,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.72,512,17,512,0,5,4,1,2,384,64,0
0.14,0.05,652.27,16,16,102400,2.5,128,64,8,65,448,448,2
0.14,0.05,652.27,16,16,102400,2.5,128,64,0,0,0,0,1
0.14,0.05,652.27,16,16,102400,2.5,128,64,1,2,384,64,1
0,0.06,1.72,512,17,512,0,5,4,8,65,448,448,0
0,0.06,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.72,512,17,512,0,5,4,1,2,384,64,0
0.14,0.05,652.27,16,16,102400,2.5,128,64,8,65,448,448,2
0.14,0.05,652.27,16,16,102400,2.5,128,64,0,0,0,0,1
0.14,0.05,652.27,16,16,102400,2.5,128,64,1,2,384,64,1
0,0.06,1.72,512,17,512,0,5,4,8,65,448,448,0
0,0.06,1.72,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.72,512,17,512,0,5,4,1,2,384,64,0
0.15,0.05,730.01,16,16,112896,2.76,128,64,8,27,448,448,2
0.15,0.05,730.01,16,16,112896,2.76,128,64,0,0,0,0,1
0.15,0.05,730.01,16,16,112896,2.76,128,64,1,6,448,64,1
0,0.07,1.84,512,17,512,0,5,4,8,27,448,448,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,1
0,0.07,1.84,512,17,512,0,5,4,1,6,448,64,0
0.15,0.05,730.01,16,16,112896,2.76,128,64,8,27,448,448,2
0.15,0.05,730.01,16,16,112896,2.76,128,64,0,0,0,0,1
0.15,0.05,730.01,16,16,112896,2.76,128,64,1,6,448,64,1
0,0.07,1.84,512,17,512,0,5,4,8,27,448,448,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,1
0,0.07,1.84,512,17,512,0,5,4,1,6,448,64,0
0.14,0.05,723.95,16,16,112896,2.76,128,64,8,27,448,448,2
0.14,0.05,723.95,16,16,112896,2.76,128,64,0,0,0,0,1
0.14,0.05,723.95,16,16,112896,2.76,128,64,1,6,448,64,1
0,0.07,1.84,512,17,512,0,5,4,8,27,448,448,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,1
0,0.07,1.84,512,17,512,0,5,4,1,6,448,64,0
0.14,0.05,719.54,16,16,112896,2.76,128,64,8,27,448,448,2
0.14,0.05,719.54,16,16,112896,2.76,128,64,0,0,0,0,1
0.14,0.05,719.54,16,16,112896,2.76,128,64,1,6,448,64,1
0,0.07,1.84,512,17,512,0,5,4,8,27,448,448,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,1
0,0.07,1.84,512,17,512,0,5,4,1,6,448,64,0
0.14,0.05,719.54,16,16,112896,2.76,128,64,8,27,448,448,2
0.14,0.05,719.54,16,16,112896,2.76,128,64,0,0,0,0,1
0.14,0.05,719.54,16,16,112896,2.76,128,64,1,6,448,64,1
0,0.07,1.84,512,17,512,0,5,4,8,27,448,448,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,1
0,0.07,1.84,512,17,512,0,5,4,1,6,448,64,0
0.15,0.05,801.08,16,16,123904,3.02,128,64,8,43,512,512,2
0.15,0.05,801.08,16,16,123904,3.02,128,64,0,0,0,0,6
0.15,0.05,801.08,16,16,123904,3.02,128,64,1,5,512,0,2
0,0.07,1.84,512,17,512,0,5,4,8,43,512,512,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.84,512,17,512,0,5,4,1,5,512,0,0
0.15,0.05,801.08,16,16,123904,3.02,128,64,8,43,512,512,2
0.15,0.05,801.08,16,16,123904,3.02,128,64,0,0,0,0,6
0.15,0.05,801.08,16,16,123904,3.02,128,64,1,5,512,0,2
0,0.06,1.84,512,17,512,0,5,4,8,43,512,512,0
0,0.06,1.84,512,17,512,0,5,4,0,0,0,0,0
0,0.06,1.84,512,17,512,0,5,4,1,5,512,0,0
0.15,0.05,794.72,16,16,123904,3.02,128,64,8,43,512,512,2
0.15,0.05,794.72,16,16,123904,3.02,128,64,0,0,0,0,6
0.15,0.05,794.72,16,16,123904,3.02,128,64,1,5,512,0,2
0,0.07,1.84,512,17,512,0,5,4,8,43,512,512,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.84,512,17,512,0,5,4,1,5,512,0,0
0.15,0.05,790.1,16,16,123904,3.02,128,64,8,43,512,512,2
0.15,0.05,790.1,16,16,123904,3.02,128,64,0,0,0,0,6
0.15,0.05,790.1,16,16,123904,3.02,128,64,1,5,512,0,2
0,0.07,1.84,512,17,512,0,5,4,8,43,512,512,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.84,512,17,512,0,5,4,1,5,512,0,0
0.15,0.05,790.1,16,16,123904,3.02,128,64,8,43,512,512,2
0.15,0.05,790.1,16,16,123904,3.02,128,64,0,0,0,0,6
0.15,0.05,790.1,16,16,123904,3.02,128,64,1,5,512,0,2
0,0.07,1.84,512,17,512,0,5,4,8,43,512,512,0
0,0.07,1.84,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.84,512,17,512,0,5,4,1,5,512,0,0
0.15,0.05,875.44,16,16,135424,3.31,128,64,10,38,576,576,1
0.15,0.05,875.44,16,16,135424,3.31,128,64,0,0,0,0,5
0.15,0.05,875.44,16,16,135424,3.31,128,64,1,9,512,0,0
0,0.07,1.96,512,17,512,0,5,4,10,38,576,576,0
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.96,512,17,512,0,5,4,1,9,512,0,0
0.15,0.05,875.44,16,16,135424,3.31,128,64,10,38,576,576,1
0.15,0.05,875.44,16,16,135424,3.31,128,64,0,0,0,0,5
0.15,0.05,875.44,16,16,135424,3.31,128,64,1,9,512,0,0
0,0.07,1.96,512,17,512,0,5,4,10,38,576,576,0
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.96,512,17,512,0,5,4,1,9,512,0,0
0.15,0.05,868.8,16,16,135424,3.31,128,64,10,38,576,576,1
0.15,0.05,868.8,16,16,135424,3.31,128,64,0,0,0,0,5
0.15,0.05,868.8,16,16,135424,3.31,128,64,1,9,512,0,0
0,0.07,1.96,512,17,512,0,5,4,10,38,576,576,0
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.96,512,17,512,0,5,4,1,9,512,0,0
0.15,0.05,863.96,16,16,135424,3.31,128,64,10,38,576,576,1
0.15,0.05,863.96,16,16,135424,3.31,128,64,0,0,0,0,5
0.15,0.05,863.96,16,16,135424,3.31,128,64,1,9,512,0,0
0,0.07,1.96,512,17,512,0,5,4,10,38,576,576,0
0,0.07,1.96,512,17,512,0,5,4,0,0,0,0,0
0,0.07,1.96,512,17,512,0,5,4,1,9,512,0,0
0.15,0.05,863.96,16,16,135424,3.31,128,64,10,38,576,576,1
0.15,0.05,863.96,16,16,135424,3.31,128,64,0,0,0,0,5
0.15,0.05,863.96,16,16,135424,3.31,128,64,1,9,512,0,0
0,0.08,1.96,512,17,512,0,5,4,10,38,576,576,0
0,0.08,1.96,512,17,512,0,5,4,0,0,0,0,0
0,0.08,1.96,512,17,512,0,5,4,1,9,512,0,0
0.15,0.05,953.1,16,16,147456,3.6,128,64,11,24,960,640,1
0.15,0.05,953.1,16,16,147456,3.6,128,64,1,0,384,64,4
0.15,0.05,953.1,16,16,147456,3.6,128,64,1,9,1088,0,5
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,0
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,0
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,0
0.15,0.05,953.1,16,16,147456,3.6,128,64,11,24,960,640,1
0.15,0.05,953.1,16,16,147456,3.6,128,64,1,0,384,64,4
0.15,0.05,953.1,16,16,147456,3.6,128,64,1,9,1088,0,5
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,0
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,0
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,0
0.15,0.05,946.17,16,16,147456,3.6,128,64,11,24,960,640,1
0.15,0.05,946.17,16,16,147456,3.6,128,64,1,0,384,64,4
0.15,0.05,946.17,16,16,147456,3.6,128,64,1,9,1088,0,5
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,0
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,0
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,0
0.15,0.05,941.12,16,16,147456,3.6,128,64,11,24,960,640,1
0.15,0.05,941.12,16,16,147456,3.6,128,64,1,0,384,64,4
0.15,0.05,941.12,16,16,147456,3.6,128,64,1,9,1088,0,5
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,0
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,0
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,0
0.15,0.05,941.12,16,16,147456,3.6,128,64,11,24,960,640,1
0.15,0.05,941.12,16,16,147456,3.6,128,64,1,0,384,64,4
0.15,0.05,941.12,16,16,147456,3.6,128,64,1,9,1088,0,5
0,0.07,1.96,512,17,512,0,5,4,11,24,960,640,0
0,0.07,1.96,512,17,512,0,5,4,1,0,384,64,0
0,0.07,1.96,512,17,512,0,5,4,1,9,1088,0,0
0.16,0.05,1034.06,16,16,160000,3.91,128,64,11,46,640,640,1
0.16,0.05,1034.06,16,16,160000,3.91,128,64,0,0,0,0,6
0.16,0.05,1034.06,16,16,160000,3.91,128,64,1,24,640,0,2
