kernel,MemLocation,Input,MatrixTemp,FilesavingPower,label,TimePerc,Time,calls,AVG,MIN,MAX
calculate_temp,64,Global,none,none,000,100.00,0.410366,1,0.410366,0.410366,0.410366
calculate_temp,64,Global,none,cudaMemAdviseSetReadMostly,001,100.00,0.454109,1,0.454109,0.454109,0.454109
calculate_temp,64,Global,none,cudaMemAdviseSetPreferredLocationGPU,002,100.00,0.423901,1,0.423901,0.423901,0.423901
calculate_temp,64,Global,none,cudaMemAdviseSetAccessedByGPU,003,100.00,0.392925,1,0.392925,0.392925,0.392925
calculate_temp,64,Global,none,cudaMemAdviseSetPreferredLocationGPU,004,100.00,0.452317,1,0.452317,0.452317,0.452317
calculate_temp,64,Global,none,cudaMemAdviseSetPreferredLocationCPU,005,100.00,0.436829,1,0.436829,0.436829,0.436829
calculate_temp,64,Global,cudaMemAdviseSetReadMostly,none,010,100.00,0.419230,1,0.419230,0.419230,0.419230
calculate_temp,64,Global,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,011,100.00,0.481950,1,0.481950,0.481950,0.481950
calculate_temp,64,Global,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,012,100.00,0.439453,1,0.439453,0.439453,0.439453
calculate_temp,64,Global,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,013,100.00,0.416349,1,0.416349,0.416349,0.416349
calculate_temp,64,Global,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,014,100.00,0.485917,1,0.485917,0.485917,0.485917
calculate_temp,64,Global,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,015,100.00,0.452957,1,0.452957,0.452957,0.452957
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,none,020,100.00,0.432190,1,0.432190,0.432190,0.432190
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,021,100.00,0.481950,1,0.481950,0.481950,0.481950
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,022,100.00,0.468638,1,0.468638,0.468638,0.468638
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,023,100.00,0.405950,1,0.405950,0.405950,0.405950
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,024,100.00,0.445789,1,0.445789,0.445789,0.445789
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,025,100.00,0.456094,1,0.456094,0.456094,0.456094
calculate_temp,64,Global,cudaMemAdviseSetAccessedByGPU,none,030,100.00,0.360414,1,0.360414,0.360414,0.360414
calculate_temp,64,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetReadMostly,031,100.00,0.349343,1,0.349343,0.349343,0.349343
calculate_temp,64,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,032,100.00,0.331775,1,0.331775,0.331775,0.331775
calculate_temp,64,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetAccessedByGPU,033,100.00,0.018720,1,0.018720,0.018720,0.018720
calculate_temp,64,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationGPU,034,100.00,0.199839,1,0.199839,0.199839,0.199839
calculate_temp,64,Global,cudaMemAdviseSetAccessedByGPU,cudaMemAdviseSetPreferredLocationCPU,035,100.00,0.343550,1,0.343550,0.343550,0.343550
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,none,040,100.00,0.435934,1,0.435934,0.435934,0.435934
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,041,100.00,0.453278,1,0.453278,0.453278,0.453278
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,042,100.00,0.441853,1,0.441853,0.441853,0.441853
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,043,100.00,0.225407,1,0.225407,0.225407,0.225407
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,044,100.00,0.285118,1,0.285118,0.285118,0.285118
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,045,100.00,0.496701,1,0.496701,0.496701,0.496701
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationCPU,none,050,100.00,0.421533,1,0.421533,0.421533,0.421533
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetReadMostly,051,100.00,0.437182,1,0.437182,0.437182,0.437182
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,052,100.00,0.439677,1,0.439677,0.439677,0.439677
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetAccessedByGPU,053,100.00,0.398655,1,0.398655,0.398655,0.398655
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationGPU,054,100.00,0.459966,1,0.459966,0.459966,0.459966
calculate_temp,64,Global,cudaMemAdviseSetPreferredLocationCPU,cudaMemAdviseSetPreferredLocationCPU,055,100.00,0.452445,1,0.452445,0.452445,0.452445
calculate_temp,64,Host,none,none,100,100.00,0.388862,1,0.388862,0.388862,0.388862
calculate_temp,64,Host,none,cudaMemAdviseSetReadMostly,101,100.00,0.463165,1,0.463165,0.463165,0.463165
calculate_temp,64,Host,none,cudaMemAdviseSetPreferredLocationGPU,102,100.00,0.464958,1,0.464958,0.464958,0.464958
calculate_temp,64,Host,none,cudaMemAdviseSetAccessedByGPU,103,100.00,0.386334,1,0.386334,0.386334,0.386334
calculate_temp,64,Host,none,cudaMemAdviseSetPreferredLocationGPU,104,100.00,0.492254,1,0.492254,0.492254,0.492254
calculate_temp,64,Host,none,cudaMemAdviseSetPreferredLocationCPU,105,100.00,0.423325,1,0.423325,0.423325,0.423325
calculate_temp,64,Host,cudaMemAdviseSetReadMostly,none,110,100.00,0.433534,1,0.433534,0.433534,0.433534
calculate_temp,64,Host,cudaMemAdviseSetReadMostly,cudaMemAdviseSetReadMostly,111,100.00,0.495646,1,0.495646,0.495646,0.495646
calculate_temp,64,Host,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,112,100.00,0.461021,1,0.461021,0.461021,0.461021
calculate_temp,64,Host,cudaMemAdviseSetReadMostly,cudaMemAdviseSetAccessedByGPU,113,100.00,0.393022,1,0.393022,0.393022,0.393022
calculate_temp,64,Host,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationGPU,114,100.00,0.492285,1,0.492285,0.492285,0.492285
calculate_temp,64,Host,cudaMemAdviseSetReadMostly,cudaMemAdviseSetPreferredLocationCPU,115,100.00,0.460733,1,0.460733,0.460733,0.460733
calculate_temp,64,Host,cudaMemAdviseSetPreferredLocationGPU,none,120,100.00,0.425181,1,0.425181,0.425181,0.425181
calculate_temp,64,Host,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetReadMostly,121,100.00,0.440574,1,0.440574,0.440574,0.440574
calculate_temp,64,Host,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,122,100.00,0.443518,1,0.443518,0.443518,0.443518
calculate_temp,64,Host,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetAccessedByGPU,123,100.00,0.417246,1,0.417246,0.417246,0.417246
calculate_temp,64,Host,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationGPU,124,100.00,0.459133,1,0.459133,0.459133,0.459133
calculate_temp,64,Host,cudaMemAdviseSetPreferredLocationGPU,cudaMemAdviseSetPreferredLocationCPU,125,100.00,0.428478,1,0.428478,0.428478,0.428478
calculate_temp,64,Host,cudaMemAdviseSetAccessedByGPU,none,130,100.00,0.324446,1,0.324446,0.324446,0.324446
